scope,name,mean_asr_pct,ci95_lo,ci95_hi,n_seeds,stdev
model,claude-opus-4-8,19.65,17.25,23.25,10,1.849
model,gpt-5.5,41.48,39.50,44.00,10,1.605
model,gemini-3.5-flash,53.15,50.00,56.75,10,1.886
model,deepseek-v4-pro,73.65,71.50,77.00,10,1.849
category,role_play,45.15,41.00,49.50,10,2.887
category,prompt_injection,31.20,24.50,37.00,10,3.967
category,token_smuggling,35.50,28.57,40.36,10,3.296
category,context_manipulation,29.44,25.00,32.50,10,2.114
category,multi_turn,58.94,54.37,65.62,10,3.631
category,system_prompt_extraction,28.45,25.50,31.50,10,1.978
category,lrm_autonomous,89.75,85.83,93.33,10,2.359
category,fuzzing_based,91.42,84.17,95.00,10,2.940
category,multimodal,39.75,32.50,48.75,10,4.888
category,agentic_chain,65.12,57.50,71.25,10,4.619
